                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.2475,                0.18417,                 0.8205,                0.99838,                0.99865,                0.99494,                0.98018,                0.15024,                0.10551,                0.74167,               0.002278,               0.002278,               0.002278
                     80,                0.24475,                0.18123,                0.81913,                0.99843,                0.99862,                0.99494,                0.98049,                0.14972,                0.10487,                0.74128,               0.002179,               0.002179,               0.002179
                     81,                0.24368,                0.17957,                0.81868,                0.99848,                0.99862,                0.99494,                0.98049,                0.14901,                0.10451,                0.74105,                0.00208,                0.00208,                0.00208
                     82,                0.24153,                0.17804,                0.81874,                0.99849,                0.99865,                0.99494,                0.98075,                0.14846,                0.10412,                0.74102,               0.001981,               0.001981,               0.001981
                     83,                0.23891,                0.17626,                0.81751,                 0.9985,                0.99868,                0.99494,                0.98087,                0.14806,                0.10372,                0.74031,               0.001882,               0.001882,               0.001882
                     84,                0.23768,                 0.1743,                0.81715,                0.99848,                0.99877,                0.99494,                0.98103,                0.14728,                0.10314,                0.73953,               0.001783,               0.001783,               0.001783
                     85,                 0.2342,                0.17182,                0.81677,                0.99846,                0.99885,                0.99495,                0.98111,                0.14657,                0.10276,                0.73879,               0.001684,               0.001684,               0.001684
                     86,                0.23342,                0.17107,                0.81644,                0.99837,                0.99886,                0.99495,                0.98139,                 0.1459,                0.10233,                0.73802,               0.001585,               0.001585,               0.001585
                     87,                0.23098,                0.16734,                 0.8168,                0.99849,                0.99887,                0.99495,                0.98171,                0.14518,                0.10192,                0.73831,               0.001486,               0.001486,               0.001486
                     88,                0.22824,                0.16639,                 0.8155,                 0.9985,                0.99886,                0.99495,                 0.9819,                0.14451,                0.10144,                0.73839,               0.001387,               0.001387,               0.001387
                     89,                0.22508,                 0.1651,                0.81543,                0.99857,                0.99888,                0.99495,                0.98211,                0.14384,                0.10122,                0.73822,               0.001288,               0.001288,               0.001288
                     90,                0.22239,                0.16288,                0.81447,                0.99854,                0.99895,                0.99495,                0.98245,                0.14325,                0.10079,                0.73851,               0.001189,               0.001189,               0.001189
                     91,                 0.2211,                0.16152,                0.81377,                0.99847,                0.99895,                0.99495,                0.98255,                0.14265,                 0.1003,                0.73836,                0.00109,                0.00109,                0.00109
                     92,                 0.2174,                0.15796,                 0.8122,                0.99849,                0.99901,                0.99496,                0.98311,                0.14208,                0.09996,                0.73771,               0.000991,               0.000991,               0.000991
                     93,                0.21583,                0.15636,                0.81269,                0.99851,                0.99898,                0.99496,                0.98334,                0.14145,                 0.0996,                0.73709,               0.000892,               0.000892,               0.000892
                     94,                0.21056,                0.15275,                0.81037,                0.99852,                0.99901,                0.99496,                0.98349,                0.14072,                0.09906,                 0.7366,               0.000793,               0.000793,               0.000793
                     95,                0.20968,                0.15102,                0.81099,                0.99854,                0.99897,                0.99496,                0.98366,                0.13998,                0.09827,                0.73646,               0.000694,               0.000694,               0.000694
                     96,                0.20556,                0.14743,                0.80998,                0.99859,                0.99894,                0.99496,                0.98389,                0.13942,                  0.098,                0.73625,               0.000595,               0.000595,               0.000595
                     97,                0.20396,                0.14632,                   0.81,                 0.9986,                0.99894,                0.99497,                0.98404,                0.13886,                0.09773,                0.73581,               0.000496,               0.000496,               0.000496
                     98,                0.20107,                0.14314,                0.80963,                0.99865,                0.99894,                0.99496,                0.98401,                0.13844,                0.09745,                0.73515,               0.000397,               0.000397,               0.000397
                     99,                0.19877,                0.14114,                0.80864,                0.99868,                0.99896,                0.99497,                0.98372,                0.13792,                0.09718,                0.73442,               0.000298,               0.000298,               0.000298
