                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.24184,                0.18182,                0.81742,                0.99834,                0.99853,                0.99495,                0.98234,                0.14393,                0.10569,                0.74495,                0.00208,                0.00208,                0.00208
                     82,                  0.239,                 0.1788,                0.81503,                 0.9983,                0.99861,                0.99495,                0.98217,                0.14345,                0.10523,                0.74457,               0.001981,               0.001981,               0.001981
                     83,                0.23625,                0.17697,                 0.8145,                0.99831,                0.99868,                0.99495,                0.98238,                0.14293,                0.10484,                  0.744,               0.001882,               0.001882,               0.001882
                     84,                0.23428,                0.17441,                0.81515,                 0.9983,                0.99868,                0.99495,                0.98252,                 0.1423,                0.10441,                0.74359,               0.001783,               0.001783,               0.001783
                     85,                0.23203,                0.17289,                0.81402,                0.99839,                0.99861,                0.99495,                0.98268,                0.14184,                 0.1038,                0.74368,               0.001684,               0.001684,               0.001684
                     86,                0.23051,                0.17089,                0.81442,                0.99842,                0.99864,                0.99495,                0.98268,                0.14144,                0.10337,                0.74355,               0.001585,               0.001585,               0.001585
                     87,                0.22755,                0.16895,                0.81302,                0.99842,                0.99863,                0.99495,                0.98302,                0.14092,                0.10299,                0.74363,               0.001486,               0.001486,               0.001486
                     88,                0.22589,                0.16637,                0.81428,                0.99835,                0.99876,                0.99496,                0.98335,                0.14013,                0.10234,                0.74367,               0.001387,               0.001387,               0.001387
                     89,                0.22323,                0.16478,                0.81176,                0.99854,                0.99862,                0.99496,                0.98357,                0.13946,                0.10185,                0.74333,               0.001288,               0.001288,               0.001288
                     90,                0.21991,                0.16296,                0.81064,                0.99845,                0.99873,                0.99496,                0.98373,                0.13901,                0.10146,                0.74253,               0.001189,               0.001189,               0.001189
                     91,                0.21681,                 0.1609,                0.81137,                 0.9985,                0.99873,                0.99496,                0.98387,                0.13859,                0.10115,                0.74196,                0.00109,                0.00109,                0.00109
                     92,                0.21586,                 0.1577,                0.81126,                0.99845,                0.99881,                0.99496,                0.98406,                0.13794,                0.10057,                 0.7418,               0.000991,               0.000991,               0.000991
                     93,                0.21174,                0.15578,                0.81032,                0.99846,                0.99877,                0.99496,                 0.9839,                0.13726,                0.10018,                0.74142,               0.000892,               0.000892,               0.000892
                     94,                0.20956,                0.15373,                0.80962,                0.99847,                0.99882,                0.99496,                0.98391,                0.13683,                0.09954,                 0.7411,               0.000793,               0.000793,               0.000793
                     95,                0.20817,                0.15146,                  0.809,                0.99851,                 0.9988,                0.99496,                0.98391,                0.13627,                 0.0991,                0.74079,               0.000694,               0.000694,               0.000694
                     96,                0.20341,                0.14765,                0.80834,                0.99847,                0.99889,                0.99497,                0.98418,                0.13556,                0.09861,                 0.7403,               0.000595,               0.000595,               0.000595
                     97,                0.20164,                0.14598,                0.80783,                0.99845,                 0.9989,                0.99497,                0.98436,                  0.135,                0.09802,                0.73997,               0.000496,               0.000496,               0.000496
                     98,                0.19917,                0.14363,                0.80783,                0.99844,                0.99889,                0.99497,                0.98463,                0.13442,                0.09754,                0.73967,               0.000397,               0.000397,               0.000397
                     99,                0.19585,                0.14199,                 0.8067,                0.99849,                0.99889,                0.99497,                0.98459,                0.13393,                0.09702,                0.73914,               0.000298,               0.000298,               0.000298
