                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.31277,                 0.2339,                0.83382,                0.99435,                0.99377,                0.99473,                0.97172,                0.21528,                0.14892,                0.80755,               0.002377,               0.002377,               0.002377
                     79,                0.30873,                0.23165,                0.83378,                 0.9944,                0.99428,                0.99474,                0.97202,                 0.2147,                0.14853,                0.80723,               0.002278,               0.002278,               0.002278
                     80,                0.30737,                0.22794,                0.83263,                0.99423,                0.99402,                0.99473,                 0.9725,                0.21374,                0.14771,                0.80673,               0.002179,               0.002179,               0.002179
                     81,                0.30523,                0.22881,                0.83357,                0.99407,                0.99461,                0.99474,                0.97262,                0.21294,                0.14722,                 0.8066,                0.00208,                0.00208,                0.00208
                     82,                0.30214,                0.22557,                0.83159,                0.99408,                0.99446,                0.99474,                0.97276,                0.21209,                 0.1467,                0.80635,               0.001981,               0.001981,               0.001981
                     83,                0.29908,                0.22403,                0.83005,                0.99411,                 0.9946,                0.99475,                0.97297,                0.21136,                 0.1463,                0.80578,               0.001882,               0.001882,               0.001882
                     84,                0.29749,                0.22245,                 0.8299,                0.99445,                 0.9945,                0.99475,                0.97315,                0.21071,                0.14573,                0.80547,               0.001783,               0.001783,               0.001783
                     85,                0.29626,                0.21919,                0.82956,                0.99433,                0.99478,                0.99475,                0.97357,                 0.2099,                0.14495,                0.80525,               0.001684,               0.001684,               0.001684
                     86,                0.29441,                 0.2173,                0.82859,                0.99434,                0.99509,                0.99476,                0.97383,                0.20899,                0.14429,                0.80484,               0.001585,               0.001585,               0.001585
                     87,                0.29127,                0.21571,                0.82783,                0.99498,                0.99475,                0.99477,                0.97427,                0.20825,                0.14376,                0.80409,               0.001486,               0.001486,               0.001486
                     88,                0.28833,                0.21329,                0.82758,                0.99489,                0.99487,                0.99477,                0.97468,                0.20735,                0.14288,                0.80356,               0.001387,               0.001387,               0.001387
                     89,                 0.2857,                0.21105,                0.82645,                0.99541,                0.99472,                0.99479,                0.97494,                 0.2068,                0.14225,                0.80359,               0.001288,               0.001288,               0.001288
                     90,                0.28286,                0.20796,                0.82534,                0.99526,                0.99469,                0.99478,                0.97499,                0.20596,                0.14146,                0.80313,               0.001189,               0.001189,               0.001189
                     91,                  0.279,                0.20438,                0.82404,                 0.9954,                0.99452,                0.99479,                0.97502,                0.20518,                0.14076,                0.80226,                0.00109,                0.00109,                0.00109
                     92,                0.27688,                0.20359,                0.82321,                0.99537,                0.99459,                0.99479,                0.97508,                 0.2044,                0.14012,                0.80117,               0.000991,               0.000991,               0.000991
                     93,                 0.2747,                 0.1996,                0.82317,                0.99536,                0.99486,                0.99479,                0.97546,                0.20367,                 0.1395,                0.80031,               0.000892,               0.000892,               0.000892
                     94,                0.27151,                0.19888,                0.82286,                0.99526,                0.99498,                 0.9948,                0.97565,                0.20278,                0.13929,                0.79974,               0.000793,               0.000793,               0.000793
                     95,                0.26865,                0.19339,                0.82198,                0.99535,                0.99477,                 0.9948,                0.97586,                0.20171,                0.13829,                0.79913,               0.000694,               0.000694,               0.000694
                     96,                0.26607,                0.19215,                0.82249,                0.99541,                0.99511,                0.99481,                0.97628,                0.20096,                 0.1378,                 0.7987,               0.000595,               0.000595,               0.000595
                     97,                0.26172,                0.18961,                0.82034,                0.99552,                0.99518,                0.99481,                 0.9764,                0.20016,                0.13728,                0.79822,               0.000496,               0.000496,               0.000496
                     98,                0.25897,                0.18634,                0.81983,                0.99557,                0.99517,                0.99481,                0.97657,                0.19917,                0.13671,                0.79758,               0.000397,               0.000397,               0.000397
                     99,                0.25625,                0.18411,                0.81955,                0.99554,                0.99564,                0.99482,                  0.977,                0.19804,                0.13579,                0.79714,               0.000298,               0.000298,               0.000298
