                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.41227,                0.27926,                0.87492,                0.99571,                0.99288,                0.99451,                0.94164,                0.30051,                0.17107,                0.78989,               0.004654,               0.004654,               0.004654
                     56,                0.40992,                0.27703,                0.87599,                0.99567,                0.99292,                0.99452,                0.93994,                0.29991,                0.17061,                0.78951,               0.004555,               0.004555,               0.004555
                     57,                0.40647,                0.27505,                  0.874,                0.99564,                0.99289,                0.99452,                0.94234,                0.29921,                0.17012,                0.78927,               0.004456,               0.004456,               0.004456
                     58,                0.40818,                0.27334,                0.87544,                0.99547,                0.99316,                0.99452,                0.94278,                0.29861,                0.16956,                0.78897,               0.004357,               0.004357,               0.004357
                     59,                0.40593,                0.27304,                0.87104,                0.99555,                0.99313,                0.99452,                0.94377,                0.29803,                0.16898,                0.78834,               0.004258,               0.004258,               0.004258
                     60,                0.40226,                0.27076,                0.87031,                0.99579,                0.99306,                0.99452,                 0.9463,                0.29744,                0.16845,                0.78774,               0.004159,               0.004159,               0.004159
                     61,                0.40258,                0.27173,                0.87015,                0.99591,                0.99288,                0.99452,                0.94673,                 0.2967,                0.16804,                0.78683,                0.00406,                0.00406,                0.00406
                     62,                0.39822,                0.26944,                0.86834,                0.99554,                0.99271,                0.99453,                0.94741,                0.29594,                0.16754,                0.78561,               0.003961,               0.003961,               0.003961
                     63,                0.39782,                0.26696,                0.86698,                0.99557,                0.99323,                0.99454,                0.94809,                 0.2951,                0.16701,                0.78446,               0.003862,               0.003862,               0.003862
                     64,                0.39662,                0.26661,                0.86679,                0.99558,                0.99303,                0.99453,                0.94831,                0.29425,                0.16659,                0.78391,               0.003763,               0.003763,               0.003763
                     65,                0.39374,                0.26276,                 0.8662,                0.99563,                0.99254,                0.99454,                0.94935,                0.29341,                0.16637,                0.78341,               0.003664,               0.003664,               0.003664
                     66,                0.39216,                0.26072,                0.86622,                0.99557,                0.99248,                0.99455,                0.94987,                0.29279,                0.16622,                0.78307,               0.003565,               0.003565,               0.003565
